HS[22.799666], V, HS[22.799666], BB[0.000167], BB[0.000000], 0.000334, 45.599499
HS[23.199635], V, HS[23.199635], BB[0.000182], BB[0.000000], 0.000365, 46.399453
HS[23.599602], V, HS[23.599602], BB[0.000199], BB[0.000000], 0.000398, 47.199403
HS[23.999567], V, HS[23.999567], BB[0.000216], BB[0.000000], 0.000433, 47.999351
HS[24.399530], V, HS[24.399530], BB[0.000235], BB[0.000000], 0.000470, 48.799294
HS[24.799489], V, HS[24.799489], BB[0.000255], BB[0.000000], 0.000511, 49.599234
HS[25.199446], V, HS[25.199446], BB[0.000277], BB[0.000000], 0.000554, 50.399170
HS[25.599401], V, HS[25.599401], BB[0.000300], BB[0.000000], 0.000599, 51.199101
HS[25.999352], V, HS[25.999352], BB[0.000324], BB[0.000000], 0.000648, 51.999028
HS[26.399300], V, HS[26.399300], BB[0.000350], BB[0.000000], 0.000700, 52.798950
HS[26.799245], V, HS[26.799245], BB[0.000377], BB[0.000000], 0.000755, 53.598868
HS[27.199187], V, HS[27.199187], BB[0.000407], BB[0.000000], 0.000813, 54.398780
HS[27.599125], V, HS[27.599125], BB[0.000438], BB[0.000000], 0.000875, 55.198687
HS[27.999059], V, HS[27.999059], BB[0.000471], BB[0.000000], 0.000941, 55.998588
HS[28.398989], V, HS[28.398989], BB[0.000505], BB[0.000000], 0.001011, 56.798484
HS[28.798915], V, HS[28.798915], BB[0.000542], BB[0.000000], 0.001085, 57.598373
HS[29.198837], V, HS[29.198837], BB[0.000581], BB[0.000000], 0.001163, 58.398256
HS[29.598755], V, HS[29.598755], BB[0.000623], BB[0.000000], 0.001245, 59.198132
HS[29.998668], V, HS[29.998668], BB[0.000666], BB[0.000000], 0.001332, 59.998002
HS[30.398576], V, HS[30.398576], BB[0.000712], BB[0.000000], 0.001424, 60.797864
HS[30.798479], V, HS[30.798479], BB[0.000760], BB[0.000000], 0.001521, 61.597719
HS[31.198377], V, HS[31.198377], BB[0.000811], BB[0.000000], 0.001623, 62.397566
HS[31.598270], V, HS[31.598270], BB[0.000865], BB[0.000000], 0.001730, 63.197405
HS[31.998157], V, HS[31.998157], BB[0.000922], BB[0.000000], 0.001843, 63.997235
HS[32.398038], V, HS[32.398038], BB[0.000981], BB[0.000000], 0.001962, 64.797057
HS[32.797913], V, HS[32.797913], BB[0.001044], BB[0.000000], 0.002087, 65.596869
HS[33.197782], V, HS[33.197782], BB[0.001109], BB[0.000000], 0.002218, 66.396672
HS[33.597644], V, HS[33.597644], BB[0.001178], BB[0.000000], 0.002356, 67.196466
HS[33.997499], V, HS[33.997499], BB[0.001250], BB[0.000000], 0.002501, 67.996249
HS[34.397348], V, HS[34.397348], BB[0.001326], BB[0.000000], 0.002652, 68.796022
HS[34.797189], V, HS[34.797189], BB[0.001405], BB[0.000000], 0.002811, 69.595784
HS[35.197023], V, HS[35.197023], BB[0.001489], BB[0.000000], 0.002977, 70.395534
HS[35.596849], V, HS[35.596849], BB[0.001576], BB[0.000000], 0.003151, 71.195273
HS[35.996667], V, HS[35.996667], BB[0.001667], BB[0.000000], 0.003333, 71.995000
HS[36.396476], V, HS[36.396476], BB[0.001762], BB[0.000000], 0.003524, 72.794715
HS[36.796277], V, HS[36.796277], BB[0.001861], BB[0.000000], 0.003723, 73.594416
HS[37.196069], V, HS[37.196069], BB[0.001965], BB[0.000000], 0.003931, 74.394104
HS[37.595852], V, HS[37.595852], BB[0.002074], BB[0.000000], 0.004148, 75.193779
HS[37.995626], V, HS[37.995626], BB[0.002187], BB[0.000000], 0.004374, 75.993439
HS[38.395390], V, HS[38.395390], BB[0.002305], BB[0.000000], 0.004610, 76.793084
HS[38.795143], V, HS[38.795143], BB[0.002428], BB[0.000000], 0.004857, 77.592715
HS[39.194886], V, HS[39.194886], BB[0.002557], BB[0.000000], 0.005114, 78.392329
HS[39.594619], V, HS[39.594619], BB[0.002691], BB[0.000000], 0.005381, 79.191928
HS[39.994340], V, HS[39.994340], BB[0.002830], BB[0.000000], 0.005660, 79.991510
HS[40.394050], V, HS[40.394050], BB[0.002975], BB[0.000000], 0.005950, 80.791075
HS[40.793748], V, HS[40.793748], BB[0.003126], BB[0.000000], 0.006252, 81.590622
HS[41.193434], V, HS[41.193434], BB[0.003283], BB[0.000000], 0.006566, 82.390151
HS[41.593107], V, HS[41.593107], BB[0.003446], BB[0.000000], 0.006893, 83.189661
HS[41.992768], V, HS[41.992768], BB[0.003616], BB[0.000000], 0.007232, 83.989152
HS[42.392415], V, HS[42.392415], BB[0.003792], BB[0.000000], 0.007585, 84.788623
HS[42.792049], V, HS[42.792049], BB[0.003976], BB[0.000000], 0.007951, 85.588073
HS[43.191669], V, HS[43.191669], BB[0.004166], BB[0.000000], 0.008331, 86.387503
HS[43.591274], V, HS[43.591274], BB[0.004363], BB[0.000000], 0.008726, 87.186911
HS[43.990865], V, HS[43.990865], BB[0.004568], BB[0.000000], 0.009135, 87.986297
HS[44.390440], V, HS[44.390440], BB[0.004780], BB[0.000000], 0.009560, 88.785660
HS[44.790000], V, HS[44.790000], BB[0.005000], BB[0.000000], 0.010000, 89.584999
HS[45.189543], V, HS[45.189543], BB[0.005228], BB[0.000000], 0.010457, 90.384315
HS[45.589070], V, HS[45.589070], BB[0.005465], BB[0.000000], 0.010930, 91.183605
HS[45.988580], V, HS[45.988580], BB[0.005710], BB[0.000000], 0.011420, 91.982871
HS[46.388073], V, HS[46.388073], BB[0.005963], BB[0.000000], 0.011927, 92.782110
HS[46.787548], V, HS[46.787548], BB[0.006226], BB[0.000000], 0.012452, 93.581322
HS[47.187005], V, HS[47.187005], BB[0.006498], BB[0.000000], 0.012995, 94.380507
HS[47.586443], V, HS[47.586443], BB[0.006779], BB[0.000000], 0.013557, 95.179664
HS[47.985861], V, HS[47.985861], BB[0.007069], BB[0.000000], 0.014139, 95.978792
HS[48.385260], V, HS[48.385260], BB[0.007370], BB[0.000000], 0.014740, 96.777890
HS[48.784638], V, HS[48.784638], BB[0.007681], BB[0.000000], 0.015362, 97.576957
HS[49.183996], V, HS[49.183996], BB[0.008002], BB[0.000000], 0.016004, 98.375994
HS[49.583332], V, HS[49.583332], BB[0.008334], BB[0.000000], 0.016668, 99.174998
HS[49.982647], V, HS[49.982647], BB[0.008677], BB[0.000000], 0.017353, 99.973970
HS[50.381939], V, HS[50.381939], BB[0.009030], BB[0.000000], 0.018061, 100.772909
HS[50.781208], V, HS[50.781208], BB[0.009396], BB[0.000000], 0.018792, 101.571813
HS[51.180454], V, HS[51.180454], BB[0.009773], BB[0.000000], 0.019546, 102.370682
HS[51.579676], V, HS[51.579676], BB[0.010162], BB[0.000000], 0.020324, 103.169514
HS[51.978874], V, HS[51.978874], BB[0.010563], BB[0.000000], 0.021126, 103.968310
HS[52.378046], V, HS[52.378046], BB[0.010977], BB[0.000000], 0.021954, 104.767069
HS[52.777192], V, HS[52.777192], BB[0.011404], BB[0.000000], 0.022808, 105.565788
HS[53.176312], V, HS[53.176312], BB[0.011844], BB[0.000000], 0.023688, 106.364469
HS[53.575406], V, HS[53.575406], BB[0.012297], BB[0.000000], 0.024594, 107.163109
HS[53.974471], V, HS[53.974471], BB[0.012764], BB[0.000000], 0.025529, 107.961707
HS[54.373509], V, HS[54.373509], BB[0.013245], BB[0.000000], 0.026491, 108.760264
HS[54.772518], V, HS[54.772518], BB[0.013741], BB[0.000000], 0.027482, 109.558777
HS[55.171497], V, HS[55.171497], BB[0.014251], BB[0.000000], 0.028503, 110.357246
