HS[29.198837], V, HS[29.198837], BB[0.000581], 0.001744, 58.398256
HS[29.598755], V, HS[29.598755], BB[0.000623], 0.001868, 59.198132
HS[29.998668], V, HS[29.998668], BB[0.000666], 0.001998, 59.998002
HS[30.398576], V, HS[30.398576], BB[0.000712], 0.002136, 60.797864
HS[30.798479], V, HS[30.798479], BB[0.000760], 0.002281, 61.597719
HS[31.198377], V, HS[31.198377], BB[0.000811], 0.002434, 62.397566
HS[31.598270], V, HS[31.598270], BB[0.000865], 0.002595, 63.197405
HS[31.998157], V, HS[31.998157], BB[0.000922], 0.002765, 63.997235
HS[32.398038], V, HS[32.398038], BB[0.000981], 0.002943, 64.797057
HS[32.797913], V, HS[32.797913], BB[0.001044], 0.003131, 65.596869
HS[33.197782], V, HS[33.197782], BB[0.001109], 0.003328, 66.396672
HS[33.597644], V, HS[33.597644], BB[0.001178], 0.003534, 67.196466
HS[33.997499], V, HS[33.997499], BB[0.001250], 0.003751, 67.996249
HS[34.397348], V, HS[34.397348], BB[0.001326], 0.003978, 68.796022
HS[34.797189], V, HS[34.797189], BB[0.001405], 0.004216, 69.595784
HS[35.197023], V, HS[35.197023], BB[0.001489], 0.004466, 70.395534
HS[35.596849], V, HS[35.596849], BB[0.001576], 0.004727, 71.195273
HS[35.996667], V, HS[35.996667], BB[0.001667], 0.005000, 71.995000
HS[36.396476], V, HS[36.396476], BB[0.001762], 0.005285, 72.794715
HS[36.796277], V, HS[36.796277], BB[0.001861], 0.005584, 73.594416
HS[37.196069], V, HS[37.196069], BB[0.001965], 0.005896, 74.394104
HS[37.595852], V, HS[37.595852], BB[0.002074], 0.006221, 75.193779
HS[37.995626], V, HS[37.995626], BB[0.002187], 0.006561, 75.993439
HS[38.395390], V, HS[38.395390], BB[0.002305], 0.006916, 76.793084
HS[38.795143], V, HS[38.795143], BB[0.002428], 0.007285, 77.592715
HS[39.194886], V, HS[39.194886], BB[0.002557], 0.007671, 78.392329
HS[39.594619], V, HS[39.594619], BB[0.002691], 0.008072, 79.191928
HS[39.994340], V, HS[39.994340], BB[0.002830], 0.008490, 79.991510
HS[40.394050], V, HS[40.394050], BB[0.002975], 0.008925, 80.791075
HS[40.793748], V, HS[40.793748], BB[0.003126], 0.009378, 81.590622
HS[41.193434], V, HS[41.193434], BB[0.003283], 0.009849, 82.390151
HS[41.593107], V, HS[41.593107], BB[0.003446], 0.010339, 83.189661
HS[41.992768], V, HS[41.992768], BB[0.003616], 0.010848, 83.989152
HS[42.392415], V, HS[42.392415], BB[0.003792], 0.011377, 84.788623
HS[42.792049], V, HS[42.792049], BB[0.003976], 0.011927, 85.588073
HS[43.191669], V, HS[43.191669], BB[0.004166], 0.012497, 86.387503
HS[43.591274], V, HS[43.591274], BB[0.004363], 0.013089, 87.186911
